Attendance (%),Assignment Completion (%),Test Score (25%),Practical Score (25%),Exam Score (50%),Performance,Age,Gender,Marital Status,Children (if Married),Mother Education,Father Education,Guardian (Sponsor),Extracurricular Activities,Online Time (Daily),Family Relationship,Free Time Activities,Alcoholic Consumption,Religious Programs (Weekly),Computer/Laptop Access (for Practicals)
62,70,19,11,9,E,20,Female,Married,5,High School,High School,Mother,No,4,Good,Watching TV,High,3,Yes
88,93,8,21,25,C,21,Male,Married,0,High School,Doctorate,Brother,Yes,3,Average,Socializing,High,3,No
79,91,9,21,43,A,21,Male,Engaged,0,Master's Degree,College,Mother,No,0,Average,Reading,Low,0,No
93,89,25,23,9,C,21,Female,Married,4,Bachelor's Degree,College,Sister,No,6,Poor,Watching TV,High,7,No
89,94,9,18,50,A,20,Female,Engaged,0,Master's Degree,College,Mother,No,7,Poor,Socializing,Moderate,3,No
81,78,25,15,11,C,18,Male,Single,0,Master's Degree,Bachelor's Degree,Brother,Yes,5,Good,Sports,Low,7,No
88,84,11,8,44,B,21,Male,Single,0,Master's Degree,Doctorate,Uncle,Yes,1,Poor,Reading,High,5,Yes
82,95,25,16,35,A,18,Female,Married,2,Bachelor's Degree,Master's Degree,Brother,Yes,5,Poor,Watching TV,Moderate,6,Yes
91,97,15,9,38,B,20,Female,Single,0,Doctorate,Bachelor's Degree,Uncle,Yes,1,Average,Watching TV,High,4,No
75,76,23,11,42,A,18,Female,Engaged,0,Bachelor's Degree,College,Father,No,6,Good,Socializing,Moderate,4,No
82,78,22,14,50,A,22,Female,Single,0,High School,High School,Father,No,4,Good,Socializing,Moderate,7,No
89,91,11,8,48,B,18,Female,Single,0,College,High School,Mother,Yes,5,Average,Socializing,High,4,Yes
98,79,8,23,39,A,20,Female,Married,4,Master's Degree,Master's Degree,Sister,Yes,0,Good,Socializing,High,7,Yes
87,87,11,15,25,C,24,Female,Single,0,Master's Degree,Master's Degree,Mother,Yes,3,Average,Watching TV,Low,6,Yes
78,96,23,12,26,B,22,Female,Engaged,0,High School,Master's Degree,Sister,Yes,5,Poor,Socializing,Moderate,6,Yes
76,85,24,16,31,A,19,Female,Engaged,0,Master's Degree,High School,Aunty,No,8,Average,Watching TV,Moderate,0,No
87,90,14,11,41,B,23,Male,Single,0,Doctorate,High School,Brother,Yes,9,Average,Reading,Low,3,No
99,86,20,9,33,B,19,Male,Engaged,0,College,Doctorate,Mother,No,8,Average,Sports,Low,1,No
83,96,16,18,49,A,22,Female,Engaged,0,Bachelor's Degree,Bachelor's Degree,Brother,No,3,Average,Sports,Moderate,2,Yes
75,97,22,17,45,A,23,Female,Married,5,Doctorate,College,Sister,Yes,6,Poor,Reading,Low,4,No
69,70,25,13,8,D,22,Female,Married,0,Doctorate,High School,Sister,Yes,8,Good,Socializing,Low,1,No
61,65,8,16,11,E,21,Male,Married,4,Doctorate,Master's Degree,Sister,No,6,Poor,Sports,Moderate,4,No
98,77,9,24,40,A,21,Female,Married,3,Bachelor's Degree,Doctorate,Aunty,No,7,Poor,Sports,High,6,No
84,96,16,19,23,C,22,Male,Married,4,High School,Master's Degree,Father,No,3,Good,Sports,High,5,No
75,87,13,11,30,C,24,Female,Single,0,Bachelor's Degree,Master's Degree,Brother,No,3,Poor,Socializing,Low,3,Yes
79,75,18,24,42,A,25,Female,Single,0,Bachelor's Degree,High School,Aunty,No,2,Good,Socializing,Moderate,3,Yes
85,93,10,12,30,C,19,Female,Married,3,Doctorate,High School,Brother,Yes,6,Average,Socializing,Moderate,6,No
93,79,21,18,20,C,19,Male,Engaged,0,Master's Degree,Bachelor's Degree,Brother,Yes,3,Average,Reading,Moderate,2,Yes
74,75,11,23,11,D,18,Female,Engaged,0,Bachelor's Degree,College,Brother,No,6,Good,Socializing,Low,1,Yes
91,91,14,16,40,A,20,Female,Engaged,0,Bachelor's Degree,Doctorate,Mother,Yes,3,Average,Socializing,High,0,Yes
88,76,21,18,36,A,18,Male,Engaged,0,Doctorate,Doctorate,Aunty,No,9,Poor,Sports,Moderate,2,Yes
74,71,9,8,13,E,23,Male,Married,5,Doctorate,College,Brother,No,8,Average,Watching TV,High,1,No
75,78,25,12,18,C,19,Male,Engaged,0,Doctorate,Master's Degree,Aunty,Yes,3,Good,Reading,High,3,Yes
90,91,21,11,26,C,20,Female,Single,0,College,Master's Degree,Sister,Yes,3,Average,Socializing,High,0,No
96,79,15,12,42,B,19,Female,Married,1,Bachelor's Degree,Master's Degree,Mother,Yes,1,Poor,Watching TV,High,7,Yes
73,60,9,20,10,E,25,Female,Married,2,Doctorate,High School,Sister,Yes,2,Good,Watching TV,Moderate,3,Yes
92,89,14,21,45,A,25,Female,Single,0,College,High School,Aunty,Yes,2,Good,Watching TV,Moderate,5,No
73,71,12,24,13,D,24,Male,Single,0,College,Bachelor's Degree,Father,No,6,Poor,Sports,Moderate,6,Yes
82,77,24,21,34,A,19,Male,Married,2,College,High School,Uncle,Yes,5,Good,Watching TV,Low,2,Yes
75,98,18,16,23,C,23,Female,Married,0,High School,Master's Degree,Uncle,Yes,6,Average,Watching TV,High,5,Yes
73,71,8,17,9,E,22,Female,Married,3,Master's Degree,Bachelor's Degree,Father,No,0,Poor,Watching TV,High,5,No
86,76,22,10,33,B,20,Male,Single,0,Doctorate,Doctorate,Mother,Yes,5,Good,Watching TV,Low,1,No
78,98,8,16,50,A,24,Male,Engaged,0,Master's Degree,Doctorate,Uncle,Yes,0,Poor,Reading,Moderate,6,Yes
94,81,11,20,45,A,24,Male,Engaged,0,Master's Degree,Doctorate,Mother,No,3,Good,Socializing,Moderate,3,No
88,91,20,21,20,B,23,Female,Married,5,Master's Degree,College,Mother,Yes,0,Average,Socializing,High,4,Yes
63,75,18,9,18,D,18,Male,Married,0,High School,Bachelor's Degree,Aunty,No,2,Good,Watching TV,Low,7,No
79,97,21,23,45,A,24,Female,Engaged,0,College,Master's Degree,Uncle,No,1,Good,Reading,High,7,No
84,79,17,21,44,A,22,Male,Married,0,Bachelor's Degree,Doctorate,Aunty,Yes,9,Poor,Sports,High,5,No
76,95,12,15,26,C,22,Female,Engaged,0,High School,Bachelor's Degree,Uncle,No,5,Average,Reading,Moderate,1,No
79,86,19,23,11,C,22,Male,Married,2,Master's Degree,High School,Brother,No,0,Average,Socializing,High,3,Yes
86,97,9,11,38,C,23,Male,Single,0,High School,College,Sister,Yes,3,Good,Watching TV,Moderate,0,No
74,67,21,8,9,E,22,Male,Engaged,0,Bachelor's Degree,High School,Brother,No,5,Poor,Watching TV,Low,4,Yes
78,83,16,11,49,A,18,Male,Engaged,0,Bachelor's Degree,Master's Degree,Brother,No,6,Good,Sports,High,0,Yes
60,71,11,10,28,D,25,Female,Married,4,Bachelor's Degree,College,Uncle,No,1,Average,Watching TV,Moderate,2,No
81,94,16,24,50,A,24,Male,Single,0,Bachelor's Degree,Bachelor's Degree,Father,No,2,Good,Sports,High,3,No
75,82,19,17,50,A,24,Male,Married,2,Doctorate,College,Mother,Yes,1,Poor,Sports,Low,4,No
91,81,20,12,34,B,18,Female,Married,1,Master's Degree,Bachelor's Degree,Mother,No,7,Poor,Watching TV,High,2,No
97,94,9,19,25,C,20,Male,Single,0,College,Master's Degree,Aunty,Yes,9,Poor,Reading,Moderate,4,No
81,84,20,22,28,A,23,Male,Engaged,0,High School,Master's Degree,Aunty,No,0,Good,Reading,Moderate,6,Yes
90,81,10,25,28,B,25,Male,Engaged,0,Bachelor's Degree,Bachelor's Degree,Father,Yes,9,Poor,Reading,Low,1,No
82,91,12,18,26,C,20,Female,Single,0,Doctorate,College,Uncle,Yes,0,Poor,Sports,High,0,No
77,95,9,25,20,C,25,Male,Single,0,College,Bachelor's Degree,Mother,No,3,Good,Socializing,Low,7,No
86,82,15,14,30,C,23,Female,Engaged,0,College,Master's Degree,Uncle,Yes,0,Poor,Watching TV,Low,4,Yes
80,97,18,14,32,B,25,Male,Engaged,0,Bachelor's Degree,High School,Brother,No,7,Poor,Sports,High,4,Yes
87,93,13,17,24,C,19,Female,Single,0,Master's Degree,College,Aunty,Yes,8,Good,Sports,Moderate,0,Yes
81,76,9,24,36,B,22,Female,Single,0,High School,College,Sister,No,7,Poor,Sports,Moderate,4,Yes
79,89,23,20,9,C,22,Male,Engaged,0,Master's Degree,High School,Sister,No,9,Poor,Watching TV,Moderate,5,Yes
65,66,10,13,17,D,21,Male,Single,0,High School,High School,Mother,Yes,7,Average,Reading,Low,6,Yes
65,71,10,16,15,D,23,Male,Engaged,0,Doctorate,High School,Mother,Yes,4,Average,Socializing,Low,3,Yes
78,77,15,11,46,A,24,Male,Married,5,Master's Degree,High School,Aunty,No,2,Poor,Reading,Low,2,No
87,78,25,20,15,B,19,Female,Engaged,0,Bachelor's Degree,Bachelor's Degree,Brother,Yes,5,Good,Reading,Low,2,Yes
99,89,18,16,22,C,24,Male,Married,5,Doctorate,Bachelor's Degree,Sister,Yes,8,Average,Watching TV,High,0,No
86,76,23,25,20,B,22,Female,Engaged,0,College,Doctorate,Aunty,No,2,Poor,Reading,Moderate,2,Yes
80,78,17,20,37,A,18,Female,Engaged,0,Bachelor's Degree,Master's Degree,Sister,Yes,7,Good,Sports,Moderate,6,Yes
62,62,9,18,14,D,25,Female,Engaged,0,Doctorate,Doctorate,Aunty,Yes,1,Average,Socializing,Low,7,Yes
79,92,16,20,49,A,20,Female,Married,5,Doctorate,Doctorate,Aunty,No,5,Average,Reading,High,0,No
95,87,21,22,42,A,20,Male,Engaged,0,Doctorate,Doctorate,Mother,Yes,4,Good,Watching TV,Moderate,1,No
62,73,10,25,13,D,23,Female,Engaged,0,Master's Degree,Doctorate,Aunty,No,2,Poor,Watching TV,Moderate,7,Yes
66,70,9,14,17,D,19,Female,Married,4,Master's Degree,Master's Degree,Mother,Yes,0,Good,Sports,High,3,No
82,94,20,9,22,C,18,Male,Engaged,0,Doctorate,Bachelor's Degree,Mother,No,5,Poor,Socializing,Moderate,0,No
97,99,11,9,40,B,18,Female,Married,0,High School,Doctorate,Father,Yes,2,Poor,Reading,Low,7,No
99,89,12,21,46,A,24,Male,Engaged,0,High School,College,Mother,Yes,9,Good,Reading,Moderate,3,Yes
66,71,17,11,16,D,22,Female,Married,1,Master's Degree,Master's Degree,Mother,No,1,Good,Socializing,Moderate,3,Yes
88,77,11,8,35,C,18,Male,Married,3,High School,Bachelor's Degree,Aunty,No,9,Poor,Watching TV,Low,6,No
75,89,18,17,26,B,19,Male,Married,0,High School,Master's Degree,Sister,Yes,4,Poor,Reading,Low,0,Yes
90,79,12,9,46,B,22,Male,Single,0,Bachelor's Degree,College,Father,Yes,0,Good,Sports,High,7,Yes
90,99,16,15,39,A,22,Male,Single,0,Doctorate,College,Brother,No,7,Poor,Socializing,Moderate,2,Yes
86,95,23,17,15,C,18,Male,Single,0,Doctorate,College,Sister,Yes,8,Poor,Reading,High,5,No
95,92,11,22,48,A,21,Female,Single,0,Master's Degree,Bachelor's Degree,Mother,No,3,Poor,Sports,Moderate,4,Yes
90,96,20,15,42,A,19,Female,Married,3,High School,Doctorate,Mother,No,4,Average,Watching TV,Low,6,Yes
77,77,25,11,24,B,21,Male,Single,0,Doctorate,Doctorate,Aunty,No,3,Poor,Watching TV,Low,1,Yes
64,65,13,10,22,D,24,Male,Single,0,Doctorate,Master's Degree,Mother,Yes,4,Poor,Sports,Moderate,6,Yes
90,75,24,12,32,B,24,Male,Engaged,0,Master's Degree,College,Uncle,Yes,2,Average,Reading,Moderate,6,No
69,75,11,10,17,E,23,Female,Married,0,College,Master's Degree,Aunty,Yes,9,Poor,Socializing,Low,3,No
75,96,8,12,34,C,24,Male,Single,0,Master's Degree,Master's Degree,Sister,No,8,Good,Reading,Low,7,Yes
79,83,11,24,47,A,24,Female,Married,2,College,Doctorate,Father,Yes,0,Good,Watching TV,High,3,Yes
91,90,16,17,42,A,19,Female,Single,0,Doctorate,High School,Father,No,2,Average,Reading,Moderate,0,Yes
77,79,8,21,23,C,18,Male,Married,4,High School,Bachelor's Degree,Uncle,No,2,Good,Socializing,Low,5,No
66,61,11,9,14,E,21,Female,Married,5,Doctorate,Bachelor's Degree,Mother,Yes,0,Good,Reading,High,3,No
95,78,25,13,44,A,19,Male,Engaged,0,Bachelor's Degree,Master's Degree,Mother,Yes,1,Poor,Sports,High,7,Yes
81,83,21,19,35,A,21,Male,Married,2,Bachelor's Degree,College,Uncle,Yes,2,Good,Sports,High,0,Yes
67,69,11,14,17,D,19,Female,Single,0,Master's Degree,High School,Uncle,No,7,Good,Reading,High,4,Yes
77,79,16,21,29,B,20,Male,Single,0,Master's Degree,Bachelor's Degree,Aunty,Yes,5,Average,Socializing,Moderate,0,Yes
80,85,23,15,50,A,19,Female,Engaged,0,Doctorate,High School,Aunty,No,2,Average,Watching TV,Moderate,1,No
75,87,16,25,18,C,22,Male,Single,0,Doctorate,College,Sister,No,5,Average,Watching TV,High,6,No
79,96,21,16,16,C,25,Male,Single,0,Doctorate,Doctorate,Father,No,8,Average,Reading,Low,3,Yes
94,95,18,11,34,B,22,Female,Married,3,College,Doctorate,Uncle,No,7,Average,Reading,High,3,No
72,69,23,10,8,D,25,Female,Single,0,College,High School,Sister,No,3,Poor,Reading,Moderate,0,Yes
89,76,8,8,34,C,20,Male,Married,3,Master's Degree,Doctorate,Aunty,No,7,Poor,Watching TV,Low,2,Yes
93,77,11,18,29,C,25,Female,Married,5,High School,Doctorate,Sister,Yes,4,Poor,Reading,High,5,Yes
76,88,24,17,38,A,19,Male,Engaged,0,Master's Degree,Master's Degree,Aunty,No,0,Average,Reading,Moderate,4,Yes
69,74,10,21,18,D,20,Female,Engaged,0,College,College,Brother,Yes,6,Good,Watching TV,Low,3,No
95,98,25,19,33,A,24,Female,Single,0,Bachelor's Degree,Master's Degree,Brother,Yes,0,Poor,Watching TV,High,4,No
86,87,14,8,47,B,18,Male,Engaged,0,Master's Degree,High School,Father,Yes,7,Poor,Socializing,Low,5,No
89,96,12,21,18,C,19,Female,Single,0,High School,Bachelor's Degree,Sister,Yes,5,Poor,Watching TV,Moderate,2,Yes
83,89,10,21,45,A,22,Male,Single,0,Master's Degree,Doctorate,Father,No,0,Average,Reading,High,2,No
91,91,23,20,31,A,25,Male,Single,0,Doctorate,Bachelor's Degree,Uncle,No,4,Good,Sports,High,1,No
83,79,24,13,27,B,23,Male,Married,4,High School,High School,Brother,Yes,1,Good,Reading,High,3,No
79,93,14,17,43,A,24,Male,Married,3,College,College,Brother,No,6,Average,Sports,Low,3,Yes
85,97,15,21,22,C,23,Female,Engaged,0,Bachelor's Degree,Master's Degree,Brother,No,1,Good,Socializing,Low,6,No
73,75,16,20,8,D,22,Male,Single,0,College,Bachelor's Degree,Father,No,3,Average,Reading,High,3,No
69,75,24,15,8,D,19,Female,Single,0,Master's Degree,Master's Degree,Father,No,0,Average,Watching TV,Low,6,No
75,84,20,19,31,A,20,Male,Engaged,0,Master's Degree,Bachelor's Degree,Brother,Yes,2,Good,Sports,High,6,Yes
89,77,15,25,23,B,23,Female,Single,0,High School,College,Aunty,No,2,Good,Reading,High,1,Yes
73,69,11,14,20,D,21,Female,Single,0,College,Doctorate,Sister,No,2,Good,Socializing,High,7,No
76,76,23,14,35,A,21,Male,Married,3,High School,High School,Mother,Yes,5,Good,Watching TV,High,0,Yes
75,95,10,15,35,B,21,Female,Single,0,Bachelor's Degree,Master's Degree,Mother,No,4,Good,Sports,Moderate,7,Yes
75,82,17,16,19,C,25,Female,Single,0,Bachelor's Degree,High School,Aunty,Yes,9,Good,Sports,High,7,No
83,87,12,25,32,B,21,Male,Married,2,Master's Degree,High School,Sister,Yes,8,Poor,Socializing,Moderate,3,No
83,75,24,14,46,A,23,Male,Engaged,0,Master's Degree,Doctorate,Aunty,No,8,Average,Sports,Low,6,No
83,90,19,10,39,B,23,Male,Married,1,High School,High School,Uncle,No,9,Good,Reading,Low,2,No
61,62,15,18,16,D,21,Female,Single,0,Bachelor's Degree,Doctorate,Brother,No,9,Good,Socializing,Moderate,0,Yes
92,97,15,20,38,A,21,Male,Married,1,Bachelor's Degree,College,Aunty,No,0,Good,Socializing,Low,1,Yes
72,68,10,11,11,E,21,Female,Married,0,College,Doctorate,Mother,Yes,4,Average,Watching TV,Moderate,4,No
61,68,9,14,9,E,25,Female,Married,4,College,High School,Aunty,Yes,4,Poor,Watching TV,High,3,No
81,92,13,20,44,A,22,Male,Married,0,High School,Bachelor's Degree,Uncle,Yes,3,Poor,Socializing,Moderate,3,Yes
93,87,22,10,19,C,18,Male,Married,4,Doctorate,College,Mother,Yes,8,Average,Sports,High,3,No
97,95,8,19,30,C,24,Male,Single,0,Bachelor's Degree,Doctorate,Mother,Yes,5,Average,Watching TV,Low,4,No
75,89,23,8,27,C,24,Female,Engaged,0,Bachelor's Degree,Master's Degree,Uncle,No,9,Good,Socializing,Moderate,2,No
95,89,22,10,33,B,18,Male,Single,0,Bachelor's Degree,Master's Degree,Aunty,Yes,1,Average,Reading,Low,4,Yes
67,64,8,21,16,D,22,Male,Married,5,Master's Degree,Bachelor's Degree,Sister,Yes,6,Poor,Sports,Moderate,2,No
75,88,20,20,15,C,25,Female,Engaged,0,Doctorate,College,Mother,No,0,Average,Reading,High,7,Yes
94,98,9,22,33,B,19,Female,Married,1,Master's Degree,College,Father,Yes,9,Good,Watching TV,Low,4,No
86,78,13,17,46,A,24,Male,Engaged,0,Master's Degree,Bachelor's Degree,Mother,No,6,Average,Reading,High,1,Yes
94,84,21,15,18,C,19,Female,Married,1,Doctorate,Master's Degree,Sister,Yes,3,Poor,Sports,Low,5,No
89,94,22,16,22,B,24,Female,Single,0,High School,Doctorate,Father,No,7,Poor,Sports,Moderate,7,Yes
95,89,24,16,12,C,20,Female,Married,2,Doctorate,Doctorate,Mother,Yes,2,Good,Socializing,Moderate,4,No
87,96,13,14,33,B,21,Female,Single,0,High School,College,Brother,No,3,Poor,Sports,High,6,No
87,80,25,10,24,C,20,Male,Engaged,0,College,College,Brother,No,3,Average,Socializing,High,1,Yes
81,88,21,16,23,B,21,Male,Engaged,0,Doctorate,Master's Degree,Aunty,Yes,1,Poor,Reading,High,2,Yes
99,97,23,16,42,A,18,Male,Single,0,Master's Degree,Doctorate,Uncle,Yes,6,Poor,Reading,High,6,No
75,66,11,11,13,E,22,Male,Engaged,0,Doctorate,College,Brother,Yes,9,Average,Sports,Moderate,5,No
79,80,25,10,35,A,21,Female,Married,1,College,Bachelor's Degree,Father,No,6,Good,Reading,High,0,No
95,77,23,21,46,A,22,Male,Engaged,0,College,College,Aunty,No,3,Average,Socializing,Low,3,No
85,90,22,21,33,A,25,Male,Married,2,Bachelor's Degree,College,Uncle,No,6,Average,Watching TV,Low,7,No
99,82,21,22,30,A,22,Male,Engaged,0,High School,Doctorate,Brother,Yes,3,Average,Reading,High,4,Yes
90,78,18,22,26,B,22,Female,Single,0,Bachelor's Degree,Bachelor's Degree,Aunty,No,6,Poor,Reading,High,5,Yes
79,90,8,9,36,C,23,Male,Engaged,0,Bachelor's Degree,College,Brother,No,0,Average,Reading,Moderate,1,No
79,94,20,14,36,A,19,Female,Single,0,Doctorate,Bachelor's Degree,Uncle,No,2,Average,Watching TV,Low,7,Yes
79,82,23,17,22,B,18,Female,Married,4,High School,Bachelor's Degree,Sister,No,6,Good,Reading,Moderate,5,No
75,98,19,25,38,A,19,Female,Single,0,College,Bachelor's Degree,Father,Yes,8,Poor,Sports,High,2,No
70,71,10,19,20,D,24,Female,Single,0,Bachelor's Degree,College,Uncle,Yes,8,Poor,Reading,High,7,Yes
86,95,19,12,42,A,25,Female,Engaged,0,Master's Degree,Doctorate,Uncle,Yes,8,Poor,Watching TV,Low,0,No
80,91,20,24,37,A,21,Female,Engaged,0,High School,High School,Uncle,No,2,Poor,Socializing,High,0,No
95,75,18,25,48,A,21,Female,Engaged,0,High School,High School,Aunty,Yes,7,Good,Reading,High,1,Yes
98,92,17,11,33,B,24,Male,Single,0,Bachelor's Degree,College,Mother,No,0,Average,Watching TV,High,4,Yes
80,95,17,24,18,C,18,Male,Married,0,Master's Degree,High School,Sister,No,0,Poor,Reading,Low,7,No
75,68,25,8,14,D,25,Male,Engaged,0,College,College,Sister,Yes,9,Average,Sports,High,5,No
84,85,15,16,44,A,20,Female,Married,5,High School,Master's Degree,Aunty,Yes,7,Average,Sports,Low,6,Yes
77,85,23,10,40,A,23,Male,Single,0,Master's Degree,High School,Mother,No,5,Average,Socializing,Low,1,No
98,76,21,24,8,C,22,Male,Married,2,Bachelor's Degree,Bachelor's Degree,Brother,No,9,Good,Socializing,High,0,No
91,81,15,17,18,C,22,Female,Single,0,High School,Master's Degree,Mother,Yes,5,Poor,Reading,Low,6,Yes
78,91,10,8,34,C,25,Male,Engaged,0,College,High School,Brother,Yes,9,Poor,Watching TV,Moderate,7,No
98,95,12,22,26,B,22,Female,Married,1,Master's Degree,College,Aunty,Yes,5,Good,Socializing,High,6,Yes
90,82,20,16,37,A,23,Female,Engaged,0,High School,Master's Degree,Uncle,No,1,Average,Sports,Low,2,Yes
69,71,18,16,11,D,25,Male,Married,3,Bachelor's Degree,Doctorate,Sister,No,3,Poor,Reading,High,7,No
62,67,17,16,16,D,25,Female,Engaged,0,College,High School,Uncle,Yes,0,Average,Sports,High,2,No
73,63,8,14,15,E,23,Female,Engaged,0,Master's Degree,High School,Aunty,Yes,7,Poor,Socializing,Low,0,No
94,76,18,8,32,C,22,Female,Engaged,0,Master's Degree,Master's Degree,Brother,No,9,Good,Socializing,High,7,Yes
88,78,24,22,29,A,23,Male,Single,0,Bachelor's Degree,High School,Brother,No,5,Average,Reading,Moderate,2,Yes
97,83,24,11,28,B,23,Male,Married,1,Doctorate,Doctorate,Father,No,7,Poor,Watching TV,Low,3,Yes
98,98,22,16,41,A,18,Male,Engaged,0,College,Master's Degree,Sister,Yes,6,Poor,Reading,High,1,Yes
62,68,15,13,16,D,19,Female,Married,5,High School,College,Brother,No,5,Good,Reading,High,4,No
77,78,25,12,42,A,25,Female,Engaged,0,Bachelor's Degree,High School,Uncle,No,2,Poor,Reading,High,0,No
80,90,16,14,23,C,23,Female,Engaged,0,High School,College,Brother,Yes,2,Good,Socializing,Low,4,Yes
87,95,24,13,42,A,25,Female,Single,0,Master's Degree,High School,Uncle,Yes,6,Good,Reading,High,0,Yes
86,78,13,23,31,B,22,Male,Married,0,Bachelor's Degree,High School,Sister,Yes,4,Poor,Sports,High,2,Yes
90,85,25,24,49,A,23,Female,Engaged,0,Master's Degree,College,Aunty,No,3,Poor,Socializing,Low,5,Yes
95,80,8,18,46,A,21,Female,Engaged,0,Doctorate,Doctorate,Father,Yes,7,Poor,Sports,Low,3,Yes
98,84,18,9,47,A,19,Female,Engaged,0,Doctorate,College,Uncle,Yes,3,Average,Socializing,Low,1,Yes
68,71,20,17,12,D,20,Male,Engaged,0,High School,High School,Mother,Yes,8,Good,Reading,Low,1,No
62,75,12,11,26,D,22,Male,Engaged,0,Master's Degree,Master's Degree,Father,No,9,Good,Socializing,High,6,No
77,78,23,9,49,A,19,Female,Married,2,High School,Doctorate,Aunty,No,1,Poor,Watching TV,Moderate,7,No
73,65,15,12,12,E,22,Female,Single,0,Doctorate,High School,Uncle,Yes,8,Good,Reading,High,2,Yes
60,70,13,21,9,D,19,Female,Married,5,Master's Degree,High School,Uncle,No,5,Average,Reading,Moderate,7,No
87,95,20,18,14,C,20,Female,Married,4,Bachelor's Degree,Bachelor's Degree,Brother,Yes,0,Average,Reading,High,7,No
79,84,21,13,39,A,18,Female,Married,0,Bachelor's Degree,High School,Sister,No,4,Good,Sports,Moderate,3,No
81,92,25,16,45,A,21,Female,Single,0,High School,College,Father,No,6,Average,Socializing,High,3,Yes
71,64,9,23,14,D,18,Male,Married,3,Bachelor's Degree,College,Mother,No,7,Good,Socializing,Low,5,Yes
92,86,8,21,24,C,20,Male,Engaged,0,High School,College,Mother,No,7,Poor,Reading,High,7,Yes
66,73,10,10,26,D,24,Female,Engaged,0,College,Doctorate,Mother,Yes,4,Good,Sports,High,0,No
78,80,23,10,28,B,25,Male,Engaged,0,Master's Degree,High School,Sister,No,6,Poor,Reading,Moderate,5,No
98,82,19,24,22,B,19,Male,Married,0,High School,Master's Degree,Brother,No,8,Good,Socializing,Low,3,No
68,69,12,14,15,D,22,Male,Married,4,Doctorate,Doctorate,Aunty,Yes,7,Good,Reading,Low,0,Yes
78,94,15,9,33,C,22,Male,Engaged,0,Master's Degree,Master's Degree,Aunty,No,5,Good,Reading,High,6,No
92,95,24,20,31,A,23,Female,Single,0,Bachelor's Degree,Master's Degree,Aunty,No,4,Average,Socializing,High,7,No
82,94,12,11,47,A,18,Female,Engaged,0,Doctorate,Bachelor's Degree,Sister,Yes,9,Average,Sports,High,5,No
82,90,20,10,27,C,21,Male,Single,0,Master's Degree,Bachelor's Degree,Uncle,No,8,Good,Watching TV,Moderate,7,Yes
81,75,25,21,50,A,20,Female,Married,5,Master's Degree,High School,Father,Yes,2,Good,Watching TV,High,4,Yes
67,69,10,12,26,D,19,Male,Engaged,0,Master's Degree,Doctorate,Uncle,No,8,Good,Sports,Low,3,Yes
78,94,21,9,27,C,19,Female,Married,3,Master's Degree,High School,Uncle,No,8,Average,Reading,High,4,Yes
87,87,12,22,28,B,20,Female,Single,0,Bachelor's Degree,High School,Uncle,No,8,Average,Reading,Low,0,Yes
94,97,8,10,32,C,24,Female,Engaged,0,High School,College,Father,Yes,4,Poor,Watching TV,Low,0,Yes
92,81,17,20,43,A,19,Female,Engaged,0,College,High School,Sister,Yes,1,Average,Reading,Low,2,Yes
81,99,12,16,37,B,20,Female,Married,4,Master's Degree,Doctorate,Uncle,Yes,0,Average,Socializing,High,2,Yes
65,67,16,14,15,D,18,Male,Married,5,High School,Bachelor's Degree,Uncle,Yes,1,Poor,Watching TV,Low,3,Yes
90,93,18,16,20,C,22,Male,Married,0,College,College,Father,Yes,1,Good,Sports,Moderate,4,Yes
95,94,17,18,26,B,21,Female,Engaged,0,College,High School,Brother,Yes,8,Poor,Reading,Low,6,Yes
82,95,16,11,46,A,20,Male,Single,0,Doctorate,College,Father,Yes,2,Poor,Sports,High,1,No
98,98,9,8,48,B,23,Female,Single,0,High School,High School,Mother,No,0,Good,Sports,Moderate,4,No
96,79,16,15,20,C,22,Female,Engaged,0,Bachelor's Degree,Bachelor's Degree,Uncle,Yes,5,Average,Sports,Moderate,7,Yes
83,84,19,15,25,C,19,Female,Married,3,Doctorate,College,Uncle,No,4,Average,Reading,Moderate,3,No
82,98,24,17,47,A,20,Male,Married,3,Master's Degree,High School,Brother,No,6,Average,Sports,Low,0,Yes
90,94,17,18,26,B,18,Male,Married,4,High School,Bachelor's Degree,Mother,Yes,8,Good,Reading,Low,5,Yes
74,75,11,17,8,E,21,Male,Engaged,0,High School,Doctorate,Brother,Yes,0,Average,Sports,Moderate,4,Yes
77,84,11,10,29,C,20,Female,Engaged,0,College,Bachelor's Degree,Aunty,Yes,7,Poor,Sports,Moderate,7,Yes
76,96,16,9,46,A,21,Male,Engaged,0,High School,High School,Mother,No,2,Average,Socializing,Low,0,Yes
87,77,18,10,27,C,18,Female,Single,0,High School,College,Mother,Yes,7,Average,Reading,Low,5,No
83,91,8,21,43,A,22,Male,Engaged,0,College,College,Mother,No,1,Average,Sports,Low,3,Yes
96,93,11,12,49,A,19,Male,Single,0,College,High School,Father,No,9,Poor,Reading,Low,0,Yes
91,79,22,8,49,A,24,Female,Engaged,0,Doctorate,Bachelor's Degree,Mother,Yes,8,Average,Socializing,Moderate,2,No
96,98,15,23,43,A,18,Female,Engaged,0,High School,High School,Sister,Yes,7,Good,Socializing,Low,4,No
80,89,20,21,9,C,19,Male,Married,5,Master's Degree,College,Father,Yes,0,Average,Socializing,Moderate,6,No
